Dates,Spot,Future,Risk Free,Cost of Carry,Deviation,Roll's Spread,Volatility($)
3/21/2001,263.05,262.2,4.77,266.2056494,4.005649414,1.84,0.026346618
3/22/2001,261.95,261.4,4.73,265.0659455,3.665945469,1.092,0.025333867
3/23/2001,262.35,261.7,4.8,265.517165,3.817164984,1.241,0.024482989
3/26/2001,262.65,262.1,4.85,265.8540163,3.754016346,1.556,0.023527219
3/27/2001,261.45,261.1,5,264.7386362,3.638636155,1.03,0.022828906
3/28/2001,260.05,259.7,4.97,263.301278,3.601277987,0.46,0.022382432
3/29/2001,259.05,260.4,4.98,262.2953328,1.895332777,1.492,0.021604326
3/30/2001,257.95,259.2,4.93,261.1489065,1.948906517,1.73,0.02080181
4/2/2001,255.55,256.6,4.98,258.7514854,2.151485393,1.152,0.021077587
4/3/2001,257.05,257.9,4.94,260.2442514,2.344251403,2.714,0.021055727
4/4/2001,258.75,259.4,4.94,261.9653766,2.565376582,0.928,0.020261669
4/5/2001,258.55,259.1,4.98,261.7890689,2.689068865,2.023,0.019573179
4/6/2001,259.9,260.9,4.89,263.096778,2.196777992,1.755,0.01919123
4/9/2001,258.5,259.2,4.93,261.7057272,2.505727213,2.775,0.019003328
4/10/2001,257.55,258.2,5.09,260.8482645,2.648264452,1.98,0.018352944
4/11/2001,258.75,259.6,5.12,262.0832875,2.48328753,2.51,0.017858991
4/12/2001,260.15,260.9,5.17,263.5342624,2.634262433,1.428,0.017703014
4/16/2001,263.4,264.1,5.28,266.8999287,2.799928711,0.618,0.019274089
4/17/2001,261,261.8,5.21,264.4217608,2.621760842,3.378,0.019911027
4/18/2001,261.25,262,5.14,264.6287243,2.628724312,2.989,0.018306046
4/19/2001,265.5,266,5.27,269.0211069,3.021106859,3.929,0.020807012
4/20/2001,264.65,265.4,5.29,268.1732423,2.773242339,2.946,0.021500419
4/23/2001,263.5,264.3,5.2,266.9478625,2.647862549,2.72,0.018853585
4/24/2001,264.3,264.7,5.22,267.7717187,3.071718694,1.538,0.018570069
4/25/2001,262.35,262.6,5.28,265.8359768,3.235976831,1.915,0.018940091
4/26/2001,264.15,264.5,5.2,267.6063677,3.106367713,3.189,0.019177271
4/27/2001,264.05,264.3,5.34,267.5987024,3.298702384,3.22,0.017887216
4/30/2001,264.05,264.4,5.35,267.6053924,3.205392435,2.881,0.017102963
5/1/2001,264.35,264.8,5.3,267.8759453,3.075945302,1.039,0.016805856
5/2/2001,265.35,265.8,5.31,268.8960058,3.096005789,0.135,0.016524672
5/3/2001,266.15,266.7,5.22,269.6460194,2.946019412,0.095,0.016057998
5/4/2001,266.15,266.5,5.21,269.6392783,3.139278346,0.606,0.015464987
5/7/2001,266.1,266.5,5.21,269.5886228,3.088622836,0.162,0.014977595
5/8/2001,264.95,265.5,5.24,268.4436786,2.943678633,0.05,0.014772149
5/9/2001,269.9,270.4,5.2,273.4316057,3.0316057,2.585,0.019137215
5/10/2001,269,269.5,5.31,272.5947826,3.094782578,5.14,0.019589609
5/11/2001,268.05,268.3,5.51,271.7679373,3.467937253,4.697,0.016137187
5/14/2001,268.5,268.7,5.46,272.190153,3.490152998,2.109,0.016242019
